; Galvo Command Execution Queue
; Total Commands: 12092
MARK X:10879 Y:48049 SPEED:100000
MARK X:10893 Y:48049 SPEED:100000
MARK X:10907 Y:48049 SPEED:100000
MARK X:10921 Y:48049 SPEED:100000
MARK X:10935 Y:48049 SPEED:100000
MARK X:10949 Y:48049 SPEED:100000
MARK X:10963 Y:48049 SPEED:100000
MARK X:10977 Y:48049 SPEED:100000
MARK X:10992 Y:48049 SPEED:100000
MARK X:11006 Y:48049 SPEED:100000
MARK X:11020 Y:48049 SPEED:100000
MARK X:11034 Y:48049 SPEED:100000
MARK X:11048 Y:48049 SPEED:100000
MARK X:11062 Y:48049 SPEED:100000
MARK X:11076 Y:48049 SPEED:100000
MARK X:11091 Y:48049 SPEED:100000
MARK X:11105 Y:48049 SPEED:100000
MARK X:11119 Y:48049 SPEED:100000
MARK X:11133 Y:48049 SPEED:100000
MARK X:11147 Y:48049 SPEED:100000
MARK X:11161 Y:48049 SPEED:100000
MARK X:11175 Y:48049 SPEED:100000
MARK X:11189 Y:48049 SPEED:100000
MARK X:11204 Y:48049 SPEED:100000
MARK X:11218 Y:48049 SPEED:100000
MARK X:11232 Y:48049 SPEED:100000
MARK X:11246 Y:48049 SPEED:100000
MARK X:11260 Y:48049 SPEED:100000
MARK X:11274 Y:48049 SPEED:100000
MARK X:11288 Y:48049 SPEED:100000
MARK X:11303 Y:48049 SPEED:100000
MARK X:11317 Y:48049 SPEED:100000
MARK X:11331 Y:48049 SPEED:100000
MARK X:11345 Y:48049 SPEED:100000
MARK X:11359 Y:48049 SPEED:100000
MARK X:11373 Y:48049 SPEED:100000
MARK X:11387 Y:48049 SPEED:100000
MARK X:11401 Y:48049 SPEED:100000
MARK X:11416 Y:48049 SPEED:100000
MARK X:11430 Y:48049 SPEED:100000
MARK X:11444 Y:48049 SPEED:100000
MARK X:11458 Y:48049 SPEED:100000
MARK X:11472 Y:48049 SPEED:100000
MARK X:11486 Y:48049 SPEED:100000
MARK X:11500 Y:48049 SPEED:100000
MARK X:11515 Y:48049 SPEED:100000
MARK X:11529 Y:48049 SPEED:100000
MARK X:11543 Y:48049 SPEED:100000
MARK X:11557 Y:48049 SPEED:100000
MARK X:11571 Y:48049 SPEED:100000
MARK X:11585 Y:48049 SPEED:100000
MARK X:11599 Y:48049 SPEED:100000
MARK X:11613 Y:48049 SPEED:100000
MARK X:11628 Y:48049 SPEED:100000
MARK X:11642 Y:48049 SPEED:100000
MARK X:11656 Y:48049 SPEED:100000
MARK X:11670 Y:48049 SPEED:100000
MARK X:11684 Y:48049 SPEED:100000
MARK X:11698 Y:48049 SPEED:100000
MARK X:11712 Y:48049 SPEED:100000
MARK X:11727 Y:48049 SPEED:100000
MARK X:11741 Y:48049 SPEED:100000
