; Galvo Command Execution Queue
; Total Commands: 6044
MARK X:29786 Y:42917 SPEED:100000
MARK X:29800 Y:42917 SPEED:100000
MARK X:29815 Y:42918 SPEED:100000
MARK X:29829 Y:42918 SPEED:100000
MARK X:29843 Y:42918 SPEED:100000
MARK X:29857 Y:42918 SPEED:100000
MARK X:29871 Y:42918 SPEED:100000
MARK X:29885 Y:42918 SPEED:100000
MARK X:29900 Y:42918 SPEED:100000
MARK X:29914 Y:42918 SPEED:100000
MARK X:29928 Y:42918 SPEED:100000
MARK X:29942 Y:42918 SPEED:100000
MARK X:29956 Y:42918 SPEED:100000
MARK X:29971 Y:42918 SPEED:100000
MARK X:29985 Y:42919 SPEED:100000
MARK X:29999 Y:42919 SPEED:100000
MARK X:30013 Y:42919 SPEED:100000
MARK X:30027 Y:42919 SPEED:100000
MARK X:30042 Y:42919 SPEED:100000
MARK X:30056 Y:42919 SPEED:100000
MARK X:30070 Y:42919 SPEED:100000
MARK X:30084 Y:42919 SPEED:100000
MARK X:30098 Y:42919 SPEED:100000
MARK X:30113 Y:42919 SPEED:100000
MARK X:30127 Y:42919 SPEED:100000
MARK X:30141 Y:42920 SPEED:100000
MARK X:30155 Y:42920 SPEED:100000
MARK X:30169 Y:42920 SPEED:100000
MARK X:30184 Y:42920 SPEED:100000
MARK X:30198 Y:42920 SPEED:100000
MARK X:30212 Y:42920 SPEED:100000
MARK X:30226 Y:42920 SPEED:100000
MARK X:30240 Y:42920 SPEED:100000
MARK X:30254 Y:42920 SPEED:100000
MARK X:30269 Y:42920 SPEED:100000
MARK X:30283 Y:42920 SPEED:100000
MARK X:30297 Y:42920 SPEED:100000
MARK X:30311 Y:42921 SPEED:100000
MARK X:30325 Y:42921 SPEED:100000
MARK X:30340 Y:42921 SPEED:100000
MARK X:30354 Y:42921 SPEED:100000
MARK X:30368 Y:42921 SPEED:100000
MARK X:30382 Y:42921 SPEED:100000
MARK X:30396 Y:42921 SPEED:100000
MARK X:30411 Y:42921 SPEED:100000
MARK X:30425 Y:42921 SPEED:100000
MARK X:30439 Y:42921 SPEED:100000
MARK X:30453 Y:42921 SPEED:100000
MARK X:30467 Y:42922 SPEED:100000
MARK X:30482 Y:42922 SPEED:100000
MARK X:30496 Y:42922 SPEED:100000
MARK X:30510 Y:42922 SPEED:100000
MARK X:30524 Y:42922 SPEED:100000
MARK X:30538 Y:42922 SPEED:100000
MARK X:30553 Y:42922 SPEED:100000
MARK X:30567 Y:42922 SPEED:100000
MARK X:30581 Y:42922 SPEED:100000
MARK X:30595 Y:42922 SPEED:100000
MARK X:30609 Y:42922 SPEED:100000
MARK X:30623 Y:42923 SPEED:100000
MARK X:30638 Y:42923 SPEED:100000
MARK X:30652 Y:42923 SPEED:100000
MARK X:30666 Y:42923 SPEED:100000
MARK X:30680 Y:42923 SPEED:100000
MARK X:30694 Y:42923 SPEED:100000
MARK X:30709 Y:42923 SPEED:100000
MARK X:30723 Y:42923 SPEED:100000
MARK X:30737 Y:42923 SPEED:100000
MARK X:30751 Y:42923 SPEED:100000
MARK X:30765 Y:42923 SPEED:100000
MARK X:30780 Y:42923 SPEED:100000
MARK X:30794 Y:42924 SPEED:100000
MARK X:30808 Y:42924 SPEED:100000
MARK X:30822 Y:42924 SPEED:100000
MARK X:30836 Y:42924 SPEED:100000
MARK X:30851 Y:42924 SPEED:100000
MARK X:30865 Y:42924 SPEED:100000
MARK X:30879 Y:42924 SPEED:100000
MARK X:30893 Y:42924 SPEED:100000
MARK X:30907 Y:42924 SPEED:100000
MARK X:30922 Y:42924 SPEED:100000
MARK X:30936 Y:42924 SPEED:100000
MARK X:30950 Y:42925 SPEED:100000
MARK X:30964 Y:42925 SPEED:100000
MARK X:30978 Y:42925 SPEED:100000
MARK X:30992 Y:42925 SPEED:100000
MARK X:31007 Y:42925 SPEED:100000
