[12:46:21] INIT_CARD result=1 cards=1
[12:46:22] DISABLED_Z_HARD_LIMIT
[12:46:22] RESET_Z_AXIS
[12:46:27] MOVE_XY 32767 32767 SPEED=1000
[12:47:25] AXIS_MOVE Z REL 200 4000
[12:47:25] AXIS_MOVE Z REL 200 4000
[12:47:25] AXIS_MOVE Z REL 200 4000
[12:47:26] AXIS_MOVE Z REL 200 4000
[12:47:26] AXIS_MOVE Z REL 200 4000
[12:47:26] AXIS_MOVE Z REL 200 4000
[12:47:26] AXIS_MOVE Z REL 200 4000
[12:47:27] AXIS_MOVE Z REL 200 4000
[12:47:27] AXIS_MOVE Z REL 200 4000
[12:47:27] AXIS_MOVE Z REL 200 4000
[12:47:28] AXIS_MOVE Z REL 200 4000
[12:47:28] AXIS_MOVE Z REL 200 4000
[12:47:28] AXIS_MOVE Z REL 200 4000
[12:47:28] AXIS_MOVE Z REL 200 4000
[12:47:29] AXIS_MOVE Z REL 200 4000
[12:47:29] AXIS_MOVE Z REL 200 4000
[12:47:29] AXIS_MOVE Z REL 200 4000
[12:47:29] AXIS_MOVE Z REL 200 4000
[12:47:30] AXIS_MOVE Z REL 200 4000
[12:47:30] AXIS_MOVE Z REL 200 4000
[12:47:30] AXIS_MOVE Z REL 200 4000
[12:47:30] AXIS_MOVE Z REL 200 4000
[12:47:31] AXIS_MOVE Z REL 200 4000
[12:47:31] AXIS_MOVE Z REL 200 4000
[12:47:31] AXIS_MOVE Z REL 200 4000
[12:47:31] AXIS_MOVE Z REL 200 4000
[12:47:32] AXIS_MOVE Z REL 200 4000
[12:47:32] AXIS_MOVE Z REL 200 4000
[12:47:32] AXIS_MOVE Z REL 200 4000
[12:47:32] AXIS_MOVE Z REL 200 4000
[12:47:33] AXIS_MOVE Z REL 200 4000
[12:47:33] AXIS_MOVE Z REL 200 4000
[12:47:33] AXIS_MOVE Z REL 200 4000
[12:47:33] AXIS_MOVE Z REL 200 4000
[12:47:34] AXIS_MOVE Z REL 200 4000
[12:47:34] AXIS_MOVE Z REL 200 4000
[12:47:34] AXIS_MOVE Z REL 200 4000
[12:47:34] AXIS_MOVE Z REL 200 4000
[12:47:35] AXIS_MOVE Z REL 200 4000
[12:47:35] AXIS_MOVE Z REL 200 4000
[12:47:35] AXIS_MOVE Z REL 200 4000
[12:47:35] AXIS_MOVE Z REL 200 4000
[12:47:36] AXIS_MOVE Z REL 200 4000
[12:47:36] AXIS_MOVE Z REL 200 4000
[12:47:36] AXIS_MOVE Z REL 200 4000
[12:47:36] AXIS_MOVE Z REL 200 4000
[12:47:37] AXIS_MOVE Z REL 200 4000
[12:47:37] AXIS_MOVE Z REL 200 4000
[12:47:37] AXIS_MOVE Z REL 200 4000
[12:47:37] AXIS_MOVE Z REL 200 4000
[12:47:38] AXIS_MOVE Z REL 200 4000
[12:47:38] AXIS_MOVE Z REL 200 4000
[12:47:38] AXIS_MOVE Z REL 200 4000
[12:47:38] AXIS_MOVE Z REL -400 1000
[12:47:47] AXIS_MOVE Z REL -4000 1000
[12:47:55] AXIS_MOVE Z REL 4000 1000
[12:48:06] 
========================================
[12:48:06] EXECUTION BATCH START (Loops: 1)
[12:48:06] ========================================
[12:48:06] MOVE_XY 45267 32767 SPEED=2000000
[12:48:06] SET_IO pin=1 state=1
[12:48:06] LASER_ON
[12:48:06] MOVE_XY 45077 34937 SPEED=1000000
[12:48:06] MOVE_XY 44513 37042 SPEED=1000000
[12:48:06] MOVE_XY 43592 39016 SPEED=1000000
[12:48:06] MOVE_XY 42342 40801 SPEED=1000000
[12:48:06] MOVE_XY 40801 42342 SPEED=1000000
[12:48:06] MOVE_XY 39017 43592 SPEED=1000000
[12:48:06] MOVE_XY 37042 44513 SPEED=1000000
[12:48:06] MOVE_XY 34937 45077 SPEED=1000000
[12:48:06] MOVE_XY 32767 45267 SPEED=1000000
[12:48:06] MOVE_XY 30597 45077 SPEED=1000000
[12:48:06] MOVE_XY 28492 44513 SPEED=1000000
[12:48:06] MOVE_XY 26518 43592 SPEED=1000000
[12:48:06] MOVE_XY 24733 42342 SPEED=1000000
[12:48:06] MOVE_XY 23192 40801 SPEED=1000000
[12:48:06] MOVE_XY 21942 39016 SPEED=1000000
[12:48:06] MOVE_XY 21021 37042 SPEED=1000000
[12:48:06] MOVE_XY 20457 34937 SPEED=1000000
[12:48:06] MOVE_XY 20267 32767 SPEED=1000000
[12:48:06] MOVE_XY 20457 30597 SPEED=1000000
[12:48:06] MOVE_XY 21021 28492 SPEED=1000000
[12:48:06] MOVE_XY 21942 26517 SPEED=1000000
[12:48:06] MOVE_XY 23192 24733 SPEED=1000000
[12:48:06] MOVE_XY 24733 23192 SPEED=1000000
[12:48:06] MOVE_XY 26517 21942 SPEED=1000000
[12:48:06] MOVE_XY 28492 21021 SPEED=1000000
[12:48:06] MOVE_XY 30597 20457 SPEED=1000000
[12:48:06] MOVE_XY 32767 20267 SPEED=1000000
[12:48:06] MOVE_XY 34937 20457 SPEED=1000000
[12:48:06] MOVE_XY 37042 21021 SPEED=1000000
[12:48:06] MOVE_XY 39017 21942 SPEED=1000000
[12:48:06] MOVE_XY 40801 23192 SPEED=1000000
[12:48:06] MOVE_XY 42342 24733 SPEED=1000000
[12:48:06] MOVE_XY 43592 26517 SPEED=1000000
[12:48:06] MOVE_XY 44513 28492 SPEED=1000000
[12:48:06] MOVE_XY 45077 30597 SPEED=1000000
[12:48:06] MOVE_XY 45267 32767 SPEED=1000000
[12:48:06] SET_IO pin=1 state=0
[12:48:06] LASER_OFF
[12:48:06] MOVE_XY 32767 32767 SPEED=2000000
[12:48:06] SET_IO pin=1 state=0
[12:48:06] LASER_OFF
[12:48:15] 
========================================
[12:48:15] EXECUTION BATCH START (Loops: 1)
[12:48:15] ========================================
[12:48:15] MOVE_XY 45267 32767 SPEED=2000000
[12:48:15] SET_IO pin=1 state=1
[12:48:15] LASER_ON
[12:48:15] MOVE_XY 45077 34937 SPEED=1000000
[12:48:15] MOVE_XY 44513 37042 SPEED=1000000
[12:48:15] MOVE_XY 43592 39016 SPEED=1000000
[12:48:15] MOVE_XY 42342 40801 SPEED=1000000
[12:48:15] MOVE_XY 40801 42342 SPEED=1000000
[12:48:15] MOVE_XY 39017 43592 SPEED=1000000
[12:48:15] MOVE_XY 37042 44513 SPEED=1000000
[12:48:15] MOVE_XY 34937 45077 SPEED=1000000
[12:48:15] MOVE_XY 32767 45267 SPEED=1000000
[12:48:15] MOVE_XY 30597 45077 SPEED=1000000
[12:48:15] MOVE_XY 28492 44513 SPEED=1000000
[12:48:15] MOVE_XY 26518 43592 SPEED=1000000
[12:48:15] MOVE_XY 24733 42342 SPEED=1000000
[12:48:15] MOVE_XY 23192 40801 SPEED=1000000
[12:48:15] MOVE_XY 21942 39016 SPEED=1000000
[12:48:16] MOVE_XY 21021 37042 SPEED=1000000
[12:48:16] MOVE_XY 20457 34937 SPEED=1000000
[12:48:16] MOVE_XY 20267 32767 SPEED=1000000
[12:48:16] MOVE_XY 20457 30597 SPEED=1000000
[12:48:16] MOVE_XY 21021 28492 SPEED=1000000
[12:48:16] MOVE_XY 21942 26517 SPEED=1000000
[12:48:16] MOVE_XY 23192 24733 SPEED=1000000
[12:48:16] MOVE_XY 24733 23192 SPEED=1000000
[12:48:16] MOVE_XY 26517 21942 SPEED=1000000
[12:48:16] MOVE_XY 28492 21021 SPEED=1000000
[12:48:16] MOVE_XY 30597 20457 SPEED=1000000
[12:48:16] MOVE_XY 32767 20267 SPEED=1000000
[12:48:16] MOVE_XY 34937 20457 SPEED=1000000
[12:48:16] MOVE_XY 37042 21021 SPEED=1000000
[12:48:16] MOVE_XY 39017 21942 SPEED=1000000
[12:48:16] MOVE_XY 40801 23192 SPEED=1000000
[12:48:16] MOVE_XY 42342 24733 SPEED=1000000
[12:48:16] MOVE_XY 43592 26517 SPEED=1000000
[12:48:16] MOVE_XY 44513 28492 SPEED=1000000
[12:48:16] MOVE_XY 45077 30597 SPEED=1000000
[12:48:16] MOVE_XY 45267 32767 SPEED=1000000
[12:48:16] SET_IO pin=1 state=0
[12:48:16] LASER_OFF
[12:48:16] MOVE_XY 32767 32767 SPEED=2000000
[12:48:16] SET_IO pin=1 state=0
[12:48:16] LASER_OFF
[12:48:23] SET_IO pin=1 state=0
[12:48:23] LASER_OFF
[12:48:29] SET_IO pin=1 state=0
[12:48:29] LASER_OFF
[12:48:39] 
========================================
[12:48:39] EXECUTION BATCH START (Loops: 1)
[12:48:39] ========================================
[12:48:39] MOVE_XY 20000 20000 SPEED=2000000
[12:48:39] SET_IO pin=1 state=1
[12:48:39] LASER_ON
[12:48:39] MOVE_XY 45000 20000 SPEED=1000000
[12:48:39] MOVE_XY 45000 45000 SPEED=1000000
[12:48:39] MOVE_XY 20000 45000 SPEED=1000000
[12:48:39] MOVE_XY 20000 20000 SPEED=1000000
[12:48:39] SET_IO pin=1 state=0
[12:48:39] LASER_OFF
[12:48:39] MOVE_XY 32767 32767 SPEED=2000000
[12:48:39] SET_IO pin=1 state=0
[12:48:39] LASER_OFF
[12:48:52] 
========================================
[12:48:52] EXECUTION BATCH START (Loops: 1)
[12:48:52] ========================================
[12:48:52] MOVE_XY 20000 20000 SPEED=2000000
[12:48:52] SET_IO pin=1 state=1
[12:48:52] LASER_ON
[12:48:52] MOVE_XY 45000 20000 SPEED=1000000
[12:48:52] MOVE_XY 45000 45000 SPEED=1000000
[12:48:52] MOVE_XY 20000 45000 SPEED=1000000
[12:48:52] MOVE_XY 20000 20000 SPEED=1000000
[12:48:52] SET_IO pin=1 state=0
[12:48:52] LASER_OFF
[12:48:52] MOVE_XY 32767 32767 SPEED=2000000
[12:48:52] SET_IO pin=1 state=0
[12:48:52] LASER_OFF
